检测时间记录 - 1.mp4
开始时间: 2026-03-25 19:48:18.024
--------------------------------------------------------------------------------
帧号         时间戳                            检测耗时(ms)       
539        2026-03-25 19:48:57.009        47.13          
540        2026-03-25 19:48:57.059        54.84          
541        2026-03-25 19:48:57.116        71.50          
542        2026-03-25 19:48:57.191        57.01          
543        2026-03-25 19:48:57.253        60.94          
544        2026-03-25 19:48:57.315        49.20          
545        2026-03-25 19:48:57.366        46.07          
546        2026-03-25 19:48:57.414        57.49          
547        2026-03-25 19:48:57.473        45.82          
548        2026-03-25 19:48:57.521        60.85          
549        2026-03-25 19:48:57.583        71.58          
550        2026-03-25 19:48:57.658        60.19          
551        2026-03-25 19:48:57.722        43.20          
552        2026-03-25 19:48:57.768        79.47          
553        2026-03-25 19:48:57.851        56.25          
554        2026-03-25 19:48:57.910        59.16          
555        2026-03-25 19:48:57.970        53.83          
556        2026-03-25 19:48:58.025        71.39          
557        2026-03-25 19:48:58.102        68.82          
558        2026-03-25 19:48:58.173        63.17          
559        2026-03-25 19:48:58.240        67.94          
560        2026-03-25 19:48:58.309        37.25          
561        2026-03-25 19:48:58.349        85.03          
562        2026-03-25 19:48:58.436        65.68          
563        2026-03-25 19:48:58.503        83.23          
564        2026-03-25 19:48:58.589        67.05          
565        2026-03-25 19:48:58.661        62.06          
566        2026-03-25 19:48:58.725        77.15          
567        2026-03-25 19:48:58.804        68.62          
568        2026-03-25 19:48:58.875        53.32          
569        2026-03-25 19:48:58.930        64.73          
570        2026-03-25 19:48:58.996        54.85          
571        2026-03-25 19:48:59.052        73.69          
572        2026-03-25 19:48:59.131        87.78          
573        2026-03-25 19:48:59.223        110.13         
574        2026-03-25 19:48:59.338        57.82          
575        2026-03-25 19:48:59.402        79.16          
576        2026-03-25 19:48:59.484        57.88          
577        2026-03-25 19:48:59.543        60.13          
578        2026-03-25 19:48:59.607        65.58          
579        2026-03-25 19:48:59.674        74.59          
580        2026-03-25 19:48:59.757        56.42          
581        2026-03-25 19:48:59.820        72.71          
582        2026-03-25 19:48:59.894        43.89          
583        2026-03-25 19:48:59.940        91.74          
584        2026-03-25 19:49:00.034        46.75          
585        2026-03-25 19:49:00.083        41.31          
586        2026-03-25 19:49:00.126        64.23          
587        2026-03-25 19:49:00.194        85.19          
588        2026-03-25 19:49:00.284        46.81          
589        2026-03-25 19:49:00.333        60.34          
590        2026-03-25 19:49:00.396        52.32          
591        2026-03-25 19:49:00.450        60.17          
592        2026-03-25 19:49:00.515        74.12          
593        2026-03-25 19:49:00.591        47.51          
594        2026-03-25 19:49:00.640        91.95          
595        2026-03-25 19:49:00.734        74.40          
596        2026-03-25 19:49:00.811        54.23          
597        2026-03-25 19:49:00.867        63.30          
598        2026-03-25 19:49:00.934        47.34          
599        2026-03-25 19:49:00.986        50.65          
600        2026-03-25 19:49:01.039        70.54          
601        2026-03-25 19:49:01.114        54.17          
602        2026-03-25 19:49:01.171        84.55          
603        2026-03-25 19:49:01.257        80.89          
604        2026-03-25 19:49:01.342        75.42          
605        2026-03-25 19:49:01.421        63.20          
606        2026-03-25 19:49:01.486        53.84          
607        2026-03-25 19:49:01.542        68.65          
608        2026-03-25 19:49:01.612        81.10          
609        2026-03-25 19:49:01.694        67.13          
610        2026-03-25 19:49:01.763        58.58          
611        2026-03-25 19:49:01.824        55.26          
612        2026-03-25 19:49:01.880        48.76          
613        2026-03-25 19:49:01.931        58.42          
614        2026-03-25 19:49:01.991        68.52          
615        2026-03-25 19:49:02.062        78.78          
616        2026-03-25 19:49:02.142        46.27          
617        2026-03-25 19:49:02.193        65.15          
618        2026-03-25 19:49:02.261        62.09          
619        2026-03-25 19:49:02.326        86.59          
